company,sector,amount,description,year,stage,location,founded,founders,investor
TheCollegeFever,Brand Marketing,250000.0,"TheCollegeFever is a hub for fun, fiesta and frolic of Colleges.",2018,Seed,Bangalore,,,
Happy Cow Dairy,Agriculture,480000.0,A startup which aggregates milk from dairy farmers in rural Maharashtra.,2018,Seed,Mumbai,,,
MyLoanCare,Credit,780000.0,Leading Online Loans Marketplace in India,2018,Series A,Gurgaon,,,
PayMe India,Financial Services,2000000.0,PayMe India is an innovative FinTech organization which offers short term financial suport to corporate employees.,2018,Angel,Noida,,,
Eunimart,E-Commerce Platforms,0.0,Eunimart is a one stop solution for merchants to create a difference by selling globally.,2018,Seed,Hyderabad,,,
Hasura,Cloud Infrastructure,1600000.0,"Hasura is a platform that allows developers to build, deploy, and host cloud-native applications quickly.",2018,Seed,Bengaluru,,,
Tripshelf,Internet,192000.0,Tripshelf is an online market place for holiday packages.,2018,Seed,Kalkaji,,,
Hyperdata.IO,Market Research,600000.0,Hyperdata combines advanced machine learning with human intelligence.,2018,Angel,Hyderabad,,,
Freightwalla,Information Services,0.0,Freightwalla is an international forwarder thats helps you manage supply chain by providing online tools including instant quotations.,2018,Seed,Mumbai,,,
Microchip Payments,Mobile Payments,0.0,Microchip payments is a mobile-based payment application and point-of-sale device,2018,Seed,Bangalore,,,
BizCrum Infotech Pvt. Ltd.,B2B,0.0,Building Transactionary B2B Marketplaces,2018,Seed,Delhi,,,
Emojifi,Internet,0.0,"Emojifi is an app that provides live emoji, stickers & GIFs suggestions based on the typed words across chat platforms.",2018,Seed,Bengaluru,,,
Flock,Apps,0.0,Flock is a real-time messaging and collaboration app for teams that speeds up and simplifies communication and boosts productivity.,2018,Seed,India,,,
Freshboxx,Food Delivery,0.0,"Freshboxx is incubated at Sandbox Startups, a unit of the Deshpande Foundation.",2018,Seed,Hubli,,,
Wide Mobility Mechatronics,Industrial Automation,0.0,Wide Mobility Mechatronics is a Private Company limited by Shares,2018,Seed,Bangalore,,,
Pitstop,Automotive,1200000.0,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,2018,Seed,Bengaluru,,,
Mihuru,Finance,150000.0,Mihuru is an online platform which gives micro loans for air travel .,2018,Seed,Mumbai,,,
Fyle,Accounting,1100000.0,Fyle is an intelligent expense management platform for enterprises.,2018,Seed,Bengaluru,,,
AppWharf,Artificial Intelligence,0.0,Appwharf is an intelligent assistant that helps find you the best-fit SaaS for your business.,2018,Seed,New Delhi,,,
Antariksh Waste Ventures Pvt ltd,Internet of Things,6000.0,Waste Management for Smart Cities,2018,Seed,Chennai,,,
Cogoport,Air Transportation,6000000.0,Cogoport is a platform that provides freight buying industry with spot rates and bidding process for freight buyers.,2018,Series A,Mumbai,,,
PaisaDukan,Financial Services,650000.0,A P2P lending marketplace platform,2018,Seed,Mumbai,,,
Sleepy Owl Coffee,Food and Beverage,420000.0,"Makers of a signature coffee that's exceptional in taste. It's super easy to brew, requires no equipment & ships to your door.",2018,Seed,New Delhi,,,
BlueJack,Autonomous Vehicles,768000.0,Delhi-based online used vehicles marketplace.,2018,Seed,Delhi,,,
PregBuddy,Enterprise Software,0.0,PregBuddy is a smart connected care platform for expecting mothers.,2018,Seed,Bengaluru,,,
AgNext Technologies,Agriculture,0.0,AgNext is an agricultural sensing and solutions company focused on building data-driven solutions for agricultural stakeholders,2018,Series A,Mohali,,,
Pando,Logistics,2000000.0,A startup which digitizes logistics operations for Fortune 500 companies.,2018,Seed,Chennai,,,
Mintifi,Financial Services,2000000.0,Online lending startup based in Mumbai.,2018,Seed,Mumbai,,,
Carcrew,Automotive,2000000.0,India's Online Auto Repair Marketplace,2018,Seed,Mumbai,,,
NicheAI,Artificial Intelligence,0.0,Early stage Artificial Intelligence (AI) start up.,2018,Angel,Hyderabad,,,
Chariot Tech,Internet of Things,240000.0,Chariot Tech is an Internet of Things (IoT) startup based in New Delhi.,2018,Seed,New Delhi,,,
Ideal Insurance Brokers/ 121Policy.com,Insurance,1000000.0,Ideal Insurance Broking is one of the leaders in insurance broking domain.,2018,Seed,Kolkata,,,
Loanzen,Financial Services,0.0,Loanzen helps small businesses get unsecured working capital loans against their their pending invoices.,2018,Seed,Bangalore,,,
Mojro Technologies,Information Technology,650000.0,Mojro envisions to be the world's largest technology-enabled logistics platform.,2018,Seed,Bengaluru,,,
Elemential,Blockchain,1000000.0,"Blockchain Development Platform To Design, Run & Scale Blockchain Networks.",2018,Seed,Mumbai,,,
Loadshare,Industrial Automation,5000000.0,LoadShare is India’s fastest growing logistics company,2018,Series A,Bengaluru,,,
Yumlane,Food and Beverage,4000000.0,Food startup Yumlane operated by QwikPik Technology,2018,Series A,Mumbai,,,
Kriger Campus,Education,360000.0,A Education Start Up.,2018,Seed,New Delhi,,,
Pipa+Bella,E-Commerce,1000000.0,Pipa+Bella is an online store aimed at selling fashionable and affordable costume jewelry at par with international standards and trends,2018,Series A,Mumbai,,,
Kaleidofin,Financial Services,2800000.0,A fintech platform.,2018,Seed,Chennai,,,
Chakr Innovation,Renewable Energy,0.0,Chakr has developed the world’s first retro-fit emission control device for diesel generators.,2018,Seed,New Delhi,,,
IndigoLearn,E-Learning,150000.0,India's the premier education destination catering to the needs of aspiring students of the CA community.,2018,Seed,Hyderabad,,,
UClean,Clean Energy,480000.0,UClean is a tech enabled laundry service provider.,2018,Seed,India,,,
Coutloot,E-Commerce,1000000.0,The Fashion Re-commerce platform.,2018,Seed,Mumbai,,,
Letstrack,Apps,1700000.0,"Letstrack GPS tracking devices to track your kids, bike, car and other vehicles. GPS trackers for Vehicle Tracking System in India.",2018,Seed,New Delhi,,,
Pooltoo,Transportation,0.0,Pooltoo offers a premium ride sharing platform.,2018,Seed,New Delhi,,,
Finzy,Financial Services,1300000.0,finzy is the premier peer to peer lending solution in India.,2018,Seed,Bangalore,,,
Fitternity,Fitness,2000000.0,India's largest online fitness platform that provides an integrated eco-system to help users start & sustain their fitness journey,2018,Seed,Mumbai,,,
Keito,Artificial Intelligence,0.0,Building an Intelligent Digital Assistant.,2018,Seed,Pune,,,
Tolet for Students,Hospitality,60000.0,"Reserve your Room, Hostel or Paying Guest, while relocating for higher education.",2018,Seed,Jodhpur,,,
Chai Kings,Food and Beverage,240000.0,Chai Kings is a tea retail chain,2018,Seed,Chennai,,,
Dainik Jagran,Media and Entertainment,480000.0,Dainik Jagran is a media and communications group.,2018,Seed,Kanpur,,,
Playtoome,Broadcasting,240000.0,Playtoome is a live entertainment destination,2018,Seed,Bengaluru,,,
ONGO Framework,B2B,1000000.0,ONGO Framework is a B2B IT and digital solution provider.,2018,Angel,Hyderabad,,,
Notesgen,EdTech,150000.0,A Global Peer-to-Peer and Peer-to-Group Learning Platform that helps students supplement their academic & competitive exam prep.,2018,Seed,New Delhi,,,
Arogya MedTech,Health Care,180000.0,Arogya MedTech is a Research & Development organization in Bio-Medical industry.,2018,Seed,Kolkata,,,
Propshop24,E-Commerce,500000.0,"Propshop24, a one-stop shop for a handpicked selection of 'fun'tastic products from around the world.",2018,Seed,Mumbai,,,
myUpchar,Health Care,5000000.0,To bring health issues to people in their language.,2018,Series A,New Delhi,,,
MissMalini Entertainment,,1248000.0,"MissMalini Entertainment is a multi-platform new media network dedicated to Entertaining, Connecting & Empowering young Indians.",2018,Seed,Mumbai,,,
Rooter,Sports,540000.0,Rooter is a mobile-based platform,2018,Seed,India,,,
ZestMoney,Big Data,13400000.0,Zest is India's first completely automated consumer digital lending platform.,2018,Series A,Bangalore,,,
alphaics Corporation,Cloud Computing,0.0,Advancing AI compute,2018,Seed,Bengaluru,,,
MyDentistChoice,Health Care,500000.0,MyDentistChoice is a direct sales and distribution of dental equipment and accessories from top name manufacturers,2018,Seed,Hyderabad,,,
Sattviko,Food Processing,0.0,Sattviko fosters wellness and shares Indianness through the Sattvik way of cooking that is wholesome and tasty!,2018,Angel,New Delhi,,,
Sensibull,Trading Platform,300000.0,Investment Management Platform,2018,Seed,Bangalore,,,
